M,K,N,It1
3584,3840,1,22904.00
3584,4096,1,24414.00
3840,256,1,1826.00
3840,512,1,3665.00
3840,768,1,5534.00
3840,1024,1,7040.00
3840,1280,1,8333.00
3840,1536,1,10375.00
3840,1792,1,12030.00
3840,2048,1,13519.00
3840,2304,1,14995.00
3840,2560,1,16538.00
3840,2816,1,18150.00
3840,3072,1,19764.00
3840,3328,1,21332.00
3840,3584,1,22910.00
3840,3840,1,24532.00
3840,4096,1,26123.00
4096,256,1,1883.00
4096,512,1,4162.00
4096,768,1,5699.00
4096,1024,1,7191.00
4096,1280,1,8893.00
4096,1536,1,10513.00
4096,1792,1,12319.00
4096,2048,1,14220.00
4096,2304,1,16151.00
4096,2560,1,17263.00
4096,2816,1,19289.00
4096,3072,1,21018.00
4096,3328,1,22692.00
4096,3584,1,24403.00
4096,3840,1,25877.00
4096,4096,1,27784.00
